search_term,post_id,creator,posted_date,likes,comments,hashtags,caption,image_description,post_url,status
"#yummy","DQZuuKijKdM","5.dakikalik.kurabiyeler","October 29, 2025","2334","","#yummy #kurabiye #cookies #turkish","KARTOPU KURABIYE - Snowball Cookies with tereyağ, pudra şekeri, nişasta, vanilya, beyaz çikolata, hindistan cevizi","White coconut-covered cookies (Snowball cookies)","https://www.instagram.com/p/DQZuuKijKdM/","SCRAPED"
"#yummy","DSfy2xjgr_O","belgince_borek_butikpasta","December 21, 2025","1978","","#trabzon #dereotlupoğaça #yummy #keşfet","DEREOTLU SANDVİÇ POĞAÇA - Turkish savory pastry with dill, tereyağ, yoğurt, un, labne","Turkish sesame-topped pastries with cream cheese filling","https://www.instagram.com/p/DSfy2xjgr_O/","SCRAPED"
"#yummy","DQLnHC0iaCQ","khana_peena_yumm","October 24, 2025","41220","","#punjab #saag #makkiroti #punjabiculture #yummy #lovepunjab","Traditional Punjabi dish - makki ki roti with sarson ka saag","Makki ki roti (corn flatbread) with sarson ka saag (mustard greens) and green chilli","https://www.instagram.com/p/DQLnHC0iaCQ/","SCRAPED"
"#yummy","DTCnLLQCFHy","bhukkar_foodiee","January 3, 2026","","","#foodie #foodblogger #yummy #hunger #cravings","Soya chunks - simple, tasty & yummy recipe, very simple and easy to make","Soya chunks stir fry with peppers and vegetables in a bowl","https://www.instagram.com/p/DTCnLLQCFHy/","SCRAPED"
"#yummy","DQYrIjuDCOK","konditornsbak","October 30, 2025","1401","","#yummy #baking #kladdkaka #swedish","Hallongrotta som kladdkaka - Swedish raspberry jam swirl brownie cake recipe","Raspberry jam swirl cake with slices cut showing swirl pattern","https://www.instagram.com/p/DQYrIjuDCOK/","SCRAPED"
"#delicious","DTYQ04PlMRv","jon_and_dean","January 12, 2026","131","N/A","#chicken #soup #marrymechicken #comfortfood #delicious #recipe","Creamy Marry Me Chicken Soup - comfort food recipe with sun-dried tomatoes and spinach","Creamy chicken soup in pan with sun-dried tomatoes and spinach","https://www.instagram.com/p/DTYQ04PlMRv/","SCRAPED"
"#delicious","DRpVOjmCM7A","frenchfamilyfood","November 29, 2025","4275","N/A","#meatballs #pork #potatoes #frenchfood #recipe #delicious","Pork meatballs with potatoes - French family recipe","Pork meatballs with potatoes in baking dish","https://www.instagram.com/p/DRpVOjmCM7A/","SCRAPED"
"#delicious","DQSJrXZErhS","globaledible","October 27, 2025","2210","32","#brie #pistachio #appetizer #cranberry #holiday #delicious","Pistachio-Crusted Brie Bites with cranberry topping - holiday appetizer","Pistachio-crusted brie bites with cranberry sauce on white plate","https://www.instagram.com/p/DQSJrXZErhS/","SCRAPED"
"#delicious","DTZmsHjiElt","trenettepennetteunqbdifantasi","January 12, 2026","857","N/A","#senzaglutine #crostatasenza #food #instafood #foodporn #foodie #yummy #delicious #foodphotography #homemade #cucinaitaliana #italianfood #foodlover #tasty #foodblogger #foodstagram #foodbloggeritalia #food_super_pics #HomeBaking","Gluten-free pasta dough recipe with oil and yogurt for biscotti and crostate","Smooth dough ball on wooden cutting board with rolling pin","https://www.instagram.com/p/DTZmsHjiElt/","SCRAPED"
"#delicious","DQmokaTEvI8","fooduice.snack","November 3, 2025","N/A","N/A","#EasyRecipe #Seafood #Foodie #ComfortFood #Veggies #Sausage #Shrimp #Delicious","Honey garlic shrimp, sausage, and broccoli - easy recipe with full instructions","Shrimp, sausage rounds, and broccoli on white plate","https://www.instagram.com/p/DQmokaTEvI8/","SCRAPED"
"#delicious","DQzjTwVjJnj","woottoncoffeeshop","November 8, 2025","4602","N/A","#woottoncoffeeshop #northampton #acai #northamptonshire #supportlocalbusinesses #acaibowl #granola #newmenuitemu #delicious #wootton #woottoneats #newmenuitem #northamptonacai","All four açai bowls - pistachio paradise, golden lotus, berry choc crunch, pb ocean breeze","Four açai bowls with various toppings including mango, berries, chocolate, nuts","https://www.instagram.com/p/DQzjTwVjJnj/","SCRAPED"
"#delicious","DTYKt1vDYq8","thesaltychilli","January 12, 2026","578","N/A","#chicken #dinner #delicious #easymeals #ricebowl","Crispy Marinated Chicken with Savoury Ginger Scallion Sauce and Sambal - family meal recipe","Crispy chicken with rice, ginger scallion sauce, and sambal on plate","https://www.instagram.com/p/DTYKt1vDYq8/","SCRAPED"
"#delicious","DPySYBoiGEi","pranz.0cena","October 14, 2025","3035","N/A","#pasta #broccoli #taleggio #italianfood #delicious #recipe","Italian broccoli pasta with taleggio fonduta - detailed preparation steps","Green broccoli pasta with creamy sauce, breadcrumbs, and sage leaves","https://www.instagram.com/p/DPySYBoiGEi/","SCRAPED"
"#delicious","DQvTIKZj0l6","deliciousaus","November 7, 2025","1234","N/A","#delicious #Zuppainglese #trifle #dessertrecipe","Zuppa inglese - Italian celebration trifle with sponge cake, lemon curd, strawberry syrup, mascarpone and raspberries","Raspberry trifle (zuppa inglese) in crystal bowl with fresh raspberries on top","https://www.instagram.com/p/DQvTIKZj0l6/","SCRAPED"
"#delicious","DQxWcBGjVZQ","turko_hanim_mutfakta","November 8, 2025","1345","N/A","#instafood #TagsForLikes #yummy #amazing #instagood #photooftheday #sweet #dinner #lunch #breakfast #tasty #food #delish #delicious #eating #foodpic #foodpics #eat #hungry #foodgasm #foods #yemektarifleri #yemekblogu #yemek #sunumonerileri #sunum #sofra #sofrasunumu #gurme","Turkish spinach börek (Ispanaklı el açma börek) with detailed recipe instructions","Turkish spinach börek cut into triangular pieces on plate","https://www.instagram.com/p/DQxWcBGjVZQ/","SCRAPED"
