restaurant_name,city,zip_code,phone,instagram_handle,followers,posts,bio,website,status
Curio,San Francisco,94110,+1 415-551-7306,,,,,,NOT_FOUND
JK & SONS COFFEE SHOP,NEW YORK,10003,,,,,,,NOT_FOUND
SIGIRI SRI LANKA RESTAURANT,NEW YORK,10003,+1 212-614-2126,,,,,,NOT_FOUND
CALIFORNIOS,SAN FRANCISCO,94110,+1 415-757-4157,@californiossf,30.2K,43,,,FOUND
AL CARBON TACO,NEW YORK,10003,+1 917-645-9176,,,,,,NOT_FOUND
Double Zero,NEW YORK,10003,+1 404-991-3666,,,,,,EMPTY_PROFILE
OUTLAW BURGER,SAN FRANCISCO,94110,,,,,,,NOT_FOUND
MOTZE,SAN FRANCISCO,94110,+1 415-487-4154,,,,,,NOT_FOUND
Sorrel,SAN FRANCISCO,94110,+1 303-931-2870,,,,,,NOT_FOUND
THE BIG MELT,SAN FRANCISCO,94110,,,,,,,NOT_FOUND
BAR VERDE,NEW YORK,10003,+1 212-777-2127,,,,,,NOT_FOUND
CHAPALA MEXICAN RESTAURANT,San Francisco,94110,+1 1234567890,,,,,,NOT_FOUND
CHILI CHA CHA 2,SAN FRANCISCO,94110,+1 415-829-2960,,,,,,NOT_FOUND
ABRUZZO DOCG,NEW YORK,10003,+1 212-228-2122,,,,,,NOT_FOUND
Hui Fu Chinese Cuisine,New York,10003,+1 212-358-8898,,,,,,NOT_FOUND
UPTOWN,SAN FRANCISCO,94110,+1 415-861-8231,,,,,,NOT_FOUND
ALNICO,SAN FRANCISCO,94110,+1 415-757-0889,,,,,,NOT_FOUND
STREECHA,New York,10003,+1 212-677-7160,@streecha,14.9K,649,Food & beverage,,FOUND
LENWICH,NEW YORK,10003,+1 212-353-0300,@lenwich,16.5K,1432,,,FOUND
Cloister s Cafe On E 9Th St,NEW YORK,10003,+1 212-777-9128,,,,,,NOT_FOUND
INK PIZZA CORP,NEW YORK,10003,+1 212-614-2126,@inkpizza,4,1,,,EMPTY_PROFILE
MEL S MELTS,NEW YORK,10003,,,,,,,NOT_FOUND
ESPERPENTO RESTAURANT,SAN FRANCISCO,94110,+1 415-282-4152,@esperpento,1,0,,,EMPTY_PROFILE
DIG INN SEASONAL MARKET,NEW YORK,10003,+1 646-905-5999,@diginn,64.8K,1353,,,FOUND
THREE HUNDRED FORTY TWO RESTAURANT,NEW YORK,10003,+1 646-895-6468,,,,,,NOT_FOUND
CAFE LA BOHEME,SAN FRANCISCO,94110,+1 415-643-4156,@cafelaboheme,3,0,,,EMPTY_PROFILE
JOE & PATS BAKERY & COFFEE,SAN FRANCISCO,94110,+1 415-655-4156,,,,,,NOT_FOUND
Sauce Pizzeria,New York,10003,+1 646-983-4007,,,,,,NOT_FOUND
BAGEL BOSS,NEW YORK,10003,+1 212-388-9292,@bagelboss,12.2K,2095,Bagel Shop EST 1975,linktr.ee/bagelboss,FOUND
HAWKERS,NEW YORK,10003,+1 212-982-2129,@eathawkers,79.4K,1588,,,FOUND
14 STREET HALAL FOOD,NEW YORK,10003,un,,,,,,NOT_FOUND
WASAN,NEW YORK,10003,+1 212-777-2127,,,,,,NOT_FOUND
LITTLE KITE,SAN FRANCISCO,94110,+1 415-285-4152,,,,,,NOT_FOUND
BARCADE,NEW YORK,10003,+1 212-388-0522,@barcade,98.8K,5268,The Original Arcade Bar in all its glory - since 2004! Nine awesome bars in NYC LA Philly New Haven & Detroit!,barcade.com,FOUND
PETES BARBEQUE,SAN FRANCISCO,94110,+1 415-826-4158,,,,,,NOT_FOUND
SAKE BAR DECIBEL,NEW YORK,10003,+1 212-979-2733,,,,,,NOT_FOUND
CAFE LA TAZA,SAN FRANCISCO,94110,+1 415-824-4158,,,,,,NOT_FOUND
CALIFORNIA FOOD MARKET,SAN FRANCISCO,94110,+1 415-821-3819,,,,,,NOT_FOUND
MAU RESTAURANT,SAN FRANCISCO,94110,+1 415-934-4159,@maurestaurant,21,10,Located in Hanoi Old Quarter Vietnam - not SF,maurestaurantvietnamescuisine.business.site,WRONG_PROFILE
POKE SPOT (THE),NEW YORK,10003,+1 917-348-9173,@thepokespot,1,0,,,EMPTY_PROFILE
THE MORRIS,SAN FRANCISCO,94110,+1 415-408-4154,,,,,,NOT_FOUND
STUYVESANT SQ LIQUORS,NEW YORK,10003,+1 212-473-2124,,,,,,NOT_FOUND
16 ASIAN,NEW YORK,10003,+1 212-505-2125,,,,,,NOT_FOUND
ENERGIZE JUICE,NEW YORK,10003,+1 212-674-2126,,,,,,NOT_FOUND
Bean NYC,NEW YORK,10003,+1 212-432-2900,,,,,,NOT_FOUND
76,SAN FRANCISCO,94110,+1 415-861-3370,,,,,,NOT_FOUND
ARINELL PIZZA,SAN FRANCISCO,94110,+1 415-255-1303,@arinellpizza,182,7,The Official Big Slice,arinell-pizza.com,FOUND
LA MEXICANA BAKERY,SAN FRANCISCO,94110,+1 415-648-4156,,,,,,NOT_FOUND
SMITTEN ICE CREAM,SAN FRANCISCO,94110,+1 209-640-2432,@smittenicecream,23.9K,2100,In the Spirit of Ice Cream We Choose LOVE! Always Freshly-Churned just for YOU! San Francisco & San Jose,smittenicecream.com,FOUND
LAS COCINERAS RESTAURANT,SAN FRANCISCO,94110,+1 415-240-4152,,,,,,NOT_FOUND
LA ESBIGA ORO,SAN FRANCISCO,94110,+1 415-826-4158,,,,,,NOT_FOUND
GGP MARKET,SAN FRANCISCO,94110,+1 415-821-4158,,,,,,NOT_FOUND
Risotteria Melotti,NEW YORK,10003,+1 646-755-8939,,,,,,NOT_FOUND
PAULS PLACE,NEW YORK,10003,+1 212-529-3033,,,,,,NOT_FOUND
SAHARA CITI RESTAURANT,NEW YORK,10003,+1 212-539-2125,,,,,,NOT_FOUND
BOCCA,NEW YORK,10003,+1 212-387-2123,,,,,,NOT_FOUND
TRATTORIA IL MULINO,NEW YORK,10003,+1 212-777-2127,,,,,,NOT_FOUND
LA SULTANA CAFE,NEW YORK,10003,+1 212-228-7678,,,,,,NOT_FOUND
ARTE RESTAURANT,NEW YORK,10003,+1 212-473-0077,,,,,,NOT_FOUND
ARTE RESTAURANT,NEW YORK,10003,un,,,,,,NOT_FOUND
BURGER KING,SAN FRANCISCO,94110,+1 415-641-9885,,,,,,NOT_FOUND
ESCAPE FROM NEW YORK PIZZA,SAN FRANCISCO,94110,+1 415-206-0555,@escapefromnewyorkpizza,70,2,,escapefromnewyorkpizza.com,FOUND
ROCK BAR,SAN FRANCISCO,94110,+1 415-550-4155,,,,,,NOT_FOUND
23RD,SAN FRANCISCO,94110,+1 415-285-4152,,,,,,NOT_FOUND
Private Business,San Francisco,94110,un,,,,,,NOT_FOUND
PIZZERIA BRAVO,SAN FRANCISCO,94110,un,,,,,,NOT_FOUND
STABLE CAFE,SAN FRANCISCO,94110,+1 415-552-1199,@stablecafe,8183,644,Tuesday-Sunday 8-3pm. Please inquire about private events. 2128 Folsom St San Francisco California 94110,stablecafe.com,FOUND
CLAY POT,NEW YORK,10003,+1 646-434-6464,,,,,,NOT_FOUND
MANIVANH THAI RESTAURANT,SAN FRANCISCO,94110,+1 415-824-4158,,,,,,NOT_FOUND
MOCHA RED STEAKHOUSE AND MIXOLOGY BAR,NEW YORK,10003,+1 212-419-8889,,,,,,NOT_FOUND
SHISH KE BABA,SAN FRANCISCO,94110,+1 415-926-8955,,,,,,NOT_FOUND
AVENUE,NEW YORK,10003,+1 212-337-2123,,,,,,NOT_FOUND
WALGREENS,NEW YORK,10003,+1 212-358-8206,,,,,,NOT_FOUND
F & G GROCERY,SAN FRANCISCO,94110,+1 415-285-4152,,,,,,NOT_FOUND
Mi Tea,NEW YORK,10003,un,,,,,,NOT_FOUND
CAPP ST PAPUSAS,SAN FRANCISCO,94110,un,,,,,,NOT_FOUND
R IMAGE,SAN FRANCISCO,94110,+1 415-648-4156,,,,,,NOT_FOUND
CHAAM,NEW YORK,10003,+1 212-228-2122,,,,,,NOT_FOUND
URBAN PUTT,SAN FRANCISCO,94110,+1 415-341-4153,@urbanputt,4189,184,Urban Putt San Francisco,,FOUND
CMH BBQ HOLDINGS LLC,NEW YORK,10003,+1 212-677-2126,,,,,,NOT_FOUND
TAQUERIA CANCUN,SAN FRANCISCO,94110,+1 415-550-1414,@taqueriacancunsf,616,,Restaurant,,FOUND
BALOMPIE CAFE NO 3,SAN FRANCISCO,94110,+1 415-647-4000,,,,,NOT_FOUND,NOT_FOUND
SHARAKU,New York,10003,+1 212-598-0403,,,,,NOT_FOUND,NOT_FOUND
12TH STREET ALE HOUSE,NEW YORK,10003,+1 212-253-2323,,,,,NOT_FOUND,NOT_FOUND
WALGREENS,SAN FRANCISCO,94110,+1 415-285-1576,,,,,NOT_CHECKED,NOT_CHECKED
CALA FOODS,SAN FRANCISCO,94110,+1 415-282-0514,,,,,NOT_CHECKED,NOT_CHECKED
EQUINOX FITNESS CLUBS,NEW YORK,10003,+1 212-677-0180,,,,,NOT_CHECKED,NOT_CHECKED
METRONICS,SAN FRANCISCO,94110,+1 415-826-4158,,,,,NOT_CHECKED,NOT_CHECKED
Media Noche,SAN FRANCISCO,94110,+1 415-655-3904,@medianochesf,5338,,Cuban sandwich shop,,FOUND
PRUBECHU,SAN FRANCISCO,94110,+1 415-853-0671,@prubechusf,10800,,Chamorro cuisine SF,,FOUND
BAAR BAAR,NEW YORK,10003,un,@baarbaarnyc,74600,1023,Indian love affair,baarbaarnyc.com,FOUND
FLAIR LOUNGE,NEW YORK,10003,un,,,,,NOT_FOUND,NOT_FOUND
SAN FRANCISCO GENERAL HOSPITAL PREOP ANESTHESIA CLINIC,SAN FRANCISCO,94110,+1 415-206-5693,,,,,NOT_CHECKED,NOT_CHECKED
JASMINE TEA HOUSE,SAN FRANCISCO,94110,+1 415-826-4158,,,,,NOT_FOUND,NOT_FOUND
CHAVITAS MEXICAN RESTAURANT,SAN FRANCISCO,94110,+1 415-285-6927,,,,,NOT_FOUND,NOT_FOUND
BAOHAUS RESTAURANT,NEW YORK,10003,+1 646-669-6466,@baohausnyc,37200,,Restaurant,,FOUND
DOLORES PARK CAFE,SAN FRANCISCO,94110,+1 415-621-2936,,,,,NOT_FOUND,NOT_FOUND
BOILER ROOM,NEW YORK,10003,+1 212-254-7536,,,,,NOT_FOUND,NOT_FOUND
Al s Deli,San Francisco,94110,un,,,,,NOT_FOUND,NOT_FOUND
JUICEGO,NEW YORK,10003,un,,,,,NOT_FOUND,NOT_FOUND
BRUNO PIZZA,NEW YORK,10003,+1 212-598-2125,,,,,NOT_FOUND,NOT_FOUND
TAJ RESTAURANT INCORPORATED,NEW YORK,10003,+1 212-505-2125,,,,,NOT_FOUND,NOT_FOUND
Shuko,NEW YORK,10003,+1 212-228-6088,@shukonyc,18100,,Omakase,,FOUND
International High School At Union Square School,NEW YORK,10003,+1 212-533-2560,,,,,NOT_CHECKED,NOT_CHECKED
SANDWICHERIE,NEW YORK,10003,+1 646-649-5400,,,,,NOT_FOUND,NOT_FOUND
TRADER JOE???S WINE SHOP,NEW YORK,10003,+1 212-529-2125,,,,,NOT_CHECKED,NOT_CHECKED
OLIVIAS MEXICAN POLYNISIAN,SAN FRANCISCO,94110,+1 415-970-4159,,,,,NOT_FOUND,NOT_FOUND
THE SYCAMORE KITCHEN,SAN FRANCISCO,94110,+1 415-252-7704,,,,,NOT_FOUND,NOT_FOUND
HORATIOS,SAN FRANCISCO,94110,+1 415-826-4158,,,,,NOT_FOUND,NOT_FOUND
SMZ IMPEX INC,NEW YORK,10003,+1 212-475-7521,,,,,NOT_CHECKED,NOT_CHECKED
4TH STREET FOOD CO-OP,NEW YORK,10003,+1 212-674-2126,,,,,NOT_FOUND,NOT_FOUND
BOKA,NEW YORK,10003,+1 646-678-5796,,,,,NOT_FOUND,NOT_FOUND
MONSTER MAC,SAN FRANCISCO,94110,un,,,,,NOT_FOUND,NOT_FOUND
BERNAL HEIGHTS RETIREMENT HOME,SAN FRANCISCO,94110,+1 415-826-4158,,,,,NOT_CHECKED,NOT_CHECKED
Vivi Bubble Tea,NEW YORK,10003,+1 212-777-3698,@vivibubbletea,9402,,Bubble tea,,FOUND
VINTAGE IRVING,NEW YORK,10003,+1 212-677-6300,,,,,NOT_FOUND,NOT_FOUND
BRAZEN FOX KITCHEN AND BAR,NEW YORK,10003,un,,,,,NOT_FOUND,NOT_FOUND
Angel s Share,NEW YORK,10003,+1 212-777-5415,@angelsshare,,,Wrong profile - yoga teacher,,WRONG_PROFILE
The Dumpling Shop,New York,10003,+1 917-388-3782,,,,,NOT_FOUND,NOT_FOUND
AVENUE FRUIT,NEW YORK,10003,+1 212-730-2127,,,,,NOT_CHECKED,NOT_CHECKED
ROI RESEARCH,NEW YORK,10003,+1 212-691-2126,,,,,NOT_CHECKED,NOT_CHECKED
CRESCENT RESTAURANT,SAN FRANCISCO,94110,+1 415-487-4154,,,,,NOT_FOUND,NOT_FOUND
CHAVAS RESTAURANT,SAN FRANCISCO,94110,+1 415-282-0283,,,,,NOT_FOUND,NOT_FOUND
F & G Grocery,SAN FRANCISCO,94110,+1 415-285-2542,,,,,NOT_CHECKED,NOT_CHECKED
CENTRAL BAR,NEW YORK,10003,+1 212-529-5333,,,,,NOT_FOUND,NOT_FOUND
JOHNS RESTAURANT,NEW YORK,10003,+1 212-475-2124,,,,,NOT_FOUND,NOT_FOUND
CAULIFLOWER PIZZA KITCHEN,SAN FRANCISCO,94110,un,,,,,NOT_FOUND,NOT_FOUND
CITYLORE:  NEW YORK CENTER FOR URBAN FOLK,NEW YORK,10003,+1 212-529-2125,,,,,NOT_CHECKED,NOT_CHECKED
SUBWAY,NEW YORK,10003,+1 212-777-8622,,,,,NOT_CHECKED,NOT_CHECKED
YUMMY DUMPLING,NEW YORK,10003,+1 646-963-6469,,,,,NOT_FOUND,NOT_FOUND
FINNERTYS IRISH PUB,NEW YORK,10003,+1 212-677-2126,,,,,NOT_FOUND,NOT_FOUND
BEBE FRITAY RESTAURANT,NEW YORK,10003,+1 718-676-7186,,,,,NOT_FOUND,NOT_FOUND
KENKA,NEW YORK,10003,+1 212-254-2122,,,,,NOT_FOUND,NOT_FOUND
CHAT N CHEW,NEW YORK,10003,un,,,,,NOT_FOUND,NOT_FOUND
EMILYS SPAGHETTI SHACK,SAN FRANCISCO,94110,+1 415-206-4152,,,,,NOT_FOUND,NOT_FOUND
REGAL CINEMAS,NEW YORK,10003,+1 844-462-7342,,,,,NOT_CHECKED,NOT_CHECKED
Tartine Manufactory,SAN FRANCISCO,94110,+1 415-757-0007,@tartinemanufactory,93200,,Bakery and restaurant,tartinemanufactory.com,FOUND
TONE CAFE,NEW YORK,10003,+1 212-882-2128,,,,,NOT_FOUND,NOT_FOUND
MEETFRESH,NEW YORK,10003,un,,,,,NOT_FOUND,NOT_FOUND
OddFellows Ice Cream Co,NEW YORK,10003,+1 917-475-1812,@oddfellowsicecream,66300,3480,Curiously crafted ice cream,linktr.ee/oddfellowsicecream,FOUND
Little Bee Baking,SAN FRANCISCO,94110,+1 415-595-4744,,,,,NOT_FOUND,NOT_FOUND
JOHN OCONNELL ALTERNATIVE HIGH,SAN FRANCISCO,94110,+1 415-695-4156,,,,,NOT_CHECKED,NOT_CHECKED
IGGYS PIZZERIA,NEW YORK,10003,+1 212-353-2123,,,,,NOT_FOUND,NOT_FOUND
DAHLIAS,NEW YORK,10003,un,,,,,NOT_FOUND,NOT_FOUND
The Pizza Place,SAN FRANCISCO,94110,+1 415-824-1840,,,,,NOT_FOUND,NOT_FOUND
SAINTS TAVERN RESTAURANT,NEW YORK,10003,+1 212-477-2124,,,,,NOT_FOUND,NOT_FOUND
XANATH ICE CREAM,SAN FRANCISCO,94110,+1 415-648-8996,@xanathicecream,41,5,Ice cream,,FOUND
RITUAL COFFEE ROASTERS,SAN FRANCISCO,94110,+1 415-641-4156,@ritualcoffee,60600,,Coffee roasters,,FOUND
RAKIRAKI RAMEN,SAN FRANCISCO,94110,+1 858-573-8585,@rakirakiramen,37200,2238,Ramen restaurant,order.online/rakiraki,FOUND
MANHATTAN SCHOOL FOR CAREER DEVELOPMENT,NEW YORK,10003,+1 212-477-2124,,,,,NOT_CHECKED,NOT_CHECKED
The Eddy,NEW YORK,10003,+1 646-895-9884,@theeddynyc,3195,476,Restaurant,resy.com,FOUND
Il Mulino Prime - Gramercy,NEW YORK,10003,+1 212-777-5314,@ilmulinoprime,3167,695,Italian steakhouse,,FOUND
SOHO TIFFIN JUNCTION,NEW YORK,10003,+1 917-514-9175,,,,,NOT_FOUND,NOT_FOUND
WCOU RADIO,NEW YORK,10003,+1 212-254-2122,,,,,NOT_CHECKED,NOT_CHECKED
MATRIX FITNESS,NEW YORK,10003,+1 212-353-8677,,,,,NOT_CHECKED,NOT_CHECKED
DRAGON CITY BAKERY & CAFE,SAN FRANCISCO,94110,+1 415-821-4158,,,,,NOT_FOUND,NOT_FOUND
HISAES,NEW YORK,10003,un,,,,,NOT_FOUND,NOT_FOUND
DALLAS BBQ,NEW YORK,10003,+1 212-777-5574,@dallasbbq,51900,1428,BBQ restaurant,qrco.de/BBQUP,FOUND
AGAVI ORGANIC JUICE BAR,NEW YORK,10003,+1 212-390-2123,,,,,NOT_FOUND,NOT_FOUND
Nolita Pizza,New York,10003,+1 646-756-4141,,,,,NOT_FOUND,NOT_FOUND
NOTRE DAME SENIOR PLAZA,SAN FRANCISCO,94110,+1 415-437-4154,,,,,NOT_CHECKED,NOT_CHECKED
JOSIE WOODS PUB AND RESTAURANT,NEW YORK,10003,+1 212-228-9909,,,,,NOT_FOUND,NOT_FOUND
SANFORD BROWN INSTITUTE,NEW YORK,10003,+1 646-313-4519,,,,,NOT_CHECKED,NOT_CHECKED
SOUVLA,SAN FRANCISCO,94110,+1 415-400-5458,@souvla,28900,,Greek restaurant,souvla.com,FOUND
NOETECA,SAN FRANCISCO,94110,+1 415-377-4153,,,,,NOT_FOUND,NOT_FOUND
EVERGREEN SUPER MARKET,SAN FRANCISCO,94110,+1 415-641-4506,,,,,NOT_CHECKED,NOT_CHECKED
PAY N SAVE GROCERY,SAN FRANCISCO,94110,+1 415-255-3076,,,,,NOT_CHECKED,NOT_CHECKED
ABRACO ESPRESSO,New York,10003,+1 212-388-9731,,,,,NOT_FOUND,NOT_FOUND
RAMEN TAKUMI,NEW YORK,10003,+1 212-229-2122,,,,,NOT_FOUND,NOT_FOUND
Pete s Barbeque,SAN FRANCISCO,94110,+1 415-826-1009,,,,,NOT_FOUND,NOT_FOUND
SHIN RESTAURANT INCORPORATED,NEW YORK,10003,+1 212-228-2122,,,,,NOT_FOUND,NOT_FOUND
Zee Smoke & Convenience,NEW YORK,10003,+1 212-777-7466,,,,,NOT_CHECKED,NOT_CHECKED
JOLI BEAUTY BAR LLC,NEW YORK,10003,+1 212-475-2124,,,,,NOT_CHECKED,NOT_CHECKED
LORENZO S OF NEW YORK PIZZA,SAN FRANCISCO,94110,un,,,,,NOT_FOUND,NOT_FOUND
NEW RESTAURANT TENTATIVELY CALLED ABC HO,NEW YORK,10003,un,,,,,NOT_FOUND,NOT_FOUND
GUPSHUP,NEW YORK,10003,+1 917-261-9172,@gupshupnyc,34300,1025,Halal upscale Indian,resy.com,FOUND
B& H RESTAURANT,NEW YORK,10003,+1 212-475-2124,,,,,NOT_FOUND,NOT_FOUND
PICCOLA STRADA RESTAURANT,NEW YORK,10003,+1 212-674-2126,,,,,NOT_FOUND,NOT_FOUND
The Penny Farthing,NEW YORK,10003,+1 212-387-7300,,,,,NOT_FOUND,NOT_FOUND
NUM PANG,NEW YORK,10003,un,@numpangkitchen,12900,1894,Sandwiches,,FOUND
ARMY STREET,SAN FRANCISCO,94110,+1 415-826-4158,,,,,NOT_CHECKED,NOT_CHECKED
RISOTTERIA MELOTTI,NEW YORK,10003,+1 646-755-6467,,,,,NOT_FOUND,NOT_FOUND
BLUE RIBBON FRIED CHICKEN,NEW YORK,10003,+1 917-265-8737,,,,,NOT_FOUND,NOT_FOUND
ROCKHOUSE HOTEL,NEW YORK,10003,+1 646-762-6467,,,,,NOT_FOUND,NOT_FOUND
CITY CINEMAS VILLAGE EAST,NEW YORK,10003,+1 212-529-6998,,,,,NOT_CHECKED,NOT_CHECKED
Tac N Roll,NEW YORK,10003,+1 212-353-0800,,,,,NOT_FOUND,NOT_FOUND
CLARES DELI,SAN FRANCISCO,94110,+1 415-621-3505,,,,,NOT_FOUND,NOT_FOUND
FRESCO GELATERIA,NEW YORK,10003,+1 212-677-2126,,,,,NOT_FOUND,NOT_FOUND
Bacon Dog Cart,San Francisco,94110,un,,,,,NOT_FOUND,NOT_FOUND
LITTLE SPOT CAFE,SAN FRANCISCO,94110,+1 415-550-4155,,,,,NOT_FOUND,NOT_FOUND
BEECHER S HANDMADE CHEESE,NEW YORK,10003,+1 212-466-3340,,,,,NOT_FOUND,NOT_FOUND
O CAFE,NEW YORK,10003,un,,,,,NOT_FOUND,NOT_FOUND
VILLAGE TAVERNA GREEK GRILL,NEW YORK,10003,+1 212-982-2129,,,,,NOT_FOUND,NOT_FOUND
DOS TOROS TAQUERIA,NEW YORK,10003,+1 212-677-7300,@dostoros,73000,2728,Bay Area taqueria NYC & DC,dostoros.com/rewards,FOUND
Mom s Bakery,SAN FRANCISCO,94110,+1 415-817-1540,,,,,NOT_FOUND,NOT_FOUND
LE MI DI,NEW YORK,10003,+1 212-255-2122,,,,,NOT_FOUND,NOT_FOUND
UNION SQUARE CATERING FACILTY,NEW YORK,10003,+1 212-645-1802,,,,,NOT_CHECKED,NOT_CHECKED
SHAKE SHACK,NEW YORK,10003,+1 646-747-6467,@shakeshack,900000,7159,Born in NYC crinkle cuts,linkin.bio/shakeshack,FOUND
LA MAISON DU CROQUE MONSIEUR,NEW YORK,10003,+1 212-675-2126,,,,,NOT_FOUND,NOT_FOUND
MUD,NEW YORK,10003,+1 212-228-9074,,,,,NOT_FOUND,NOT_FOUND
THIN PLACE,SAN FRANCISCO,94110,+1 415-553-4155,,,,,NOT_FOUND,NOT_FOUND
OSITO,SAN FRANCISCO,94110,+1 415-817-1585,,,,,NOT_FOUND,NOT_FOUND
TACOLICIOUS,SAN FRAN,94110,+1 415-346-1966,@tacolicious,16300,3410,Restaurant,tacolicious.com,FOUND
SENYA,NEW YORK,10003,+1 212-995-5278,,,,,NOT_FOUND,NOT_FOUND
BIAN DANG,NEW YORK,10003,+1 347-987-3769,,,,,NOT_FOUND,NOT_FOUND
Friends Seminary,NEW YORK,10003,+1 212-979-5035,,,,,NOT_CHECKED,NOT_CHECKED
Azuki Sushi,NEW YORK,10003,+1 212-228-3611,,,,,NOT_FOUND,NOT_FOUND
CELLAR DWELLERS,NEW YORK,10003,+1 646-654-6466,,,,,NOT_FOUND,NOT_FOUND
HAPPY MOOSE JUICE,SAN FRANCISCO,94110,+1 704-876-7048,,,,,NOT_FOUND,NOT_FOUND
AMERICANA PIZZA,SAN FRANCISCO,94110,un,,,,,NOT_FOUND,NOT_FOUND
ARABIAN NIGHTS,SAN FRANCISCO,94110,+1 415-648-1444,,,,,NOT_FOUND,NOT_FOUND
FAYES VIDEO,SAN FRANCISCO,94110,+1 415-522-4155,,,,,NOT_CHECKED,NOT_CHECKED
BOWERY BAR,NEW YORK,10003,+1 212-475-2124,,,,,NOT_FOUND,NOT_FOUND
LE COQ RICO,NEW YORK,10003,+1 212-267-2122,,,,,NOT_FOUND,NOT_FOUND
JAVA SUPREME,SAN FRANCISCO,94110,+1 415-206-1832,,,,,NOT_FOUND,NOT_FOUND
LUCKY HORSESHOE,SAN FRANCISCO,94110,+1 415-282-3456,,,,,NOT_FOUND,NOT_FOUND
BEL SF,SAN FRANCISCO,94110,+1 415-206-4152,,,,,NOT_FOUND,NOT_FOUND
SOLAS,NEW YORK,10003,+1 212-375-0297,,,,,NOT_FOUND,NOT_FOUND
Jackdaw,New York,10003,+1 212-507-9333,,,,,NOT_FOUND,NOT_FOUND
TAHENI MEDITERRANEAN GRILL,NEW YORK,10003,un,,,,,NOT_FOUND,NOT_FOUND
FANCY JUICE BAR INC,NEW YORK,10003,+1 646-573-6465,,,,,NOT_FOUND,NOT_FOUND
BI RITE CREAMERY,SAN FRANCISCO,94110,+1 415-626-4156,@biritecreamery,8473,862,Best ice cream SF,linktr.ee/biritecreamery,FOUND
STANDINGS,NEW YORK,10003,+1 212-420-2124,,,,,NOT_FOUND,NOT_FOUND
LOTUS,SAN FRANCISCO,94110,+1 415-658-4156,,,,,NOT_FOUND,NOT_FOUND
BEST CRISPY FRIED CHICKEN,SAN FRANCISCO,94110,+1 415-923-8481,,,,,NOT_FOUND,NOT_FOUND
Ootoya,NEW YORK,10003,+1 212-473-4300,,,,,NOT_FOUND,NOT_FOUND
SANWA RESTAURANT CORPORATION,NEW YORK,10003,+1 212-420-2124,,,,,NOT_FOUND,NOT_FOUND
ALL SEASONS MARKET,SAN FRANCISCO,94110,+1 415-282-0343,,,,,NOT_CHECKED,NOT_CHECKED
YUBA RESTAURANT,NEW YORK,10003,+1 212-777-2127,,,,,NOT_FOUND,NOT_FOUND
garden of eden,new york,10003,+1 212-989-4431,,,,,NOT_FOUND,NOT_FOUND
GARDEN CREAMERY,SAN FRANCISCO,94110,+1 808-224-8082,,,,,NOT_FOUND,NOT_FOUND
NOES NEST BED AND BREAKFAST,SAN FRANCISCO,94110,+1 415-821-0751,,,,,NOT_CHECKED,NOT_CHECKED
NEOCOCOA,SAN FRANCISCO,94110,un,,,,,NOT_FOUND,NOT_FOUND
CUISINE OF NEPAL,San Francisco,94110,+1 415-647-2222,,,,,NOT_FOUND,NOT_FOUND
MANGO MANGO DESSERT,New York,10003,+1 917-261-5353,,,,,NOT_FOUND,NOT_FOUND
KUNG FU TEA,NEW YORK,10003,+1 917-285-4285,,,,,NOT_FOUND,NOT_FOUND
DAILY PROVISIONS,NEW YORK,10003,+1 212-228-2122,,,,,NOT_FOUND,NOT_FOUND
NENAS RESTAURANT,SAN FRANCISCO,94110,+1 415-285-8985,,,,,NOT_FOUND,NOT_FOUND
SHARAKU JAPANESE RESTAURANT INC,NEW YORK,10003,+1 212-598-2125,,,,,NOT_FOUND,NOT_FOUND
BAR PRIMI,NEW YORK,10003,+1 212-220-9100,@barprimi,38400,1271,Italian pasta shop NYC,barprimi.com,FOUND
ALS PLACE,SAN FRANCISCO,94110,+1 415-416-4154,,,,,NOT_FOUND,NOT_FOUND
103 SECOND RESTAURANT,NEW YORK,10003,+1 212-260-2122,,,,,NOT_FOUND,NOT_FOUND
CIRCADIA COFFEE HOUSE,SAN FRANCISCO,94110,+1 415-552-4155,,,,,NOT_FOUND,NOT_FOUND
OREN S DAILY ROAST,New York,10003,+1 212-420-5958,,,,,NOT_FOUND,NOT_FOUND
CUISINE OF NEPAL,SAN FRANCISCO,94110,+1 415-647-4156,,,,,NOT_FOUND,NOT_FOUND
WAGAMAMA,New York,10003,+1 917-636-6030,@wagamama_uk,255000,1930,food is life,linktr.ee/wagamama.uk,FOUND
CALIFORNIA PACIFIC MEDICAL CENTER ST LUKE S CAMPUS,SAN FRANCISCO,94110,un,,,,,NOT_CHECKED,NOT_CHECKED
BROOKLYN CHEESESTEAK CO.,NEW YORK,10003,un,,,,,NOT_FOUND,NOT_FOUND
NEW COLLEGE EL,SAN FRANCISCO,94110,+1 415-285-4152,,,,,NOT_CHECKED,NOT_CHECKED
CRUNCH FITNESS,NEW YORK,10003,+1 212-533-0001,,,,,NOT_CHECKED,NOT_CHECKED
Pizzeria Delfina,SAN FRANCISCO,94110,+1 415-437-6800,@pizzeriadelfina,11700,2266,Neapolitan pizza Bay Area,linktr.ee/pizzeriadelfina,FOUND
DUNKIN,NEW YORK,10003,+1 212-254-2055,,,,,NOT_CHECKED,NOT_CHECKED
